Paper,Title,Link,Disease,Disease_2,AUC,Cases,Controls,Type,SE,SE_rounded,Method,Adjusters
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,RA,Rheumatoid Arthritis,0.61,86,28,METAGENOMIC,0.05886958,0.059,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,T1D,Type 1 Diabetes,0.71,57,77,METAGENOMIC,0.04602023,0.046,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,T1D,Type 1 Diabetes,0.77,21,8,METAGENOMIC,0.09059097,0.091,Random Forest,None
Hopfner_2017,Gut microbiota in Parkinson disease in a northern German cohort,https://www.sciencedirect.com/science/article/pii/S0006899317301804,PD,Parkinson's Disease,0.83,29,29,METAGENOMIC,0.05459875,0.054,Quasi-Poisson regression,None
Li_2017,Gut microbiota dysbiosis contributes to the development of hypertension,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-016-0222-x,Hypertension,Hypertension,0.89,99,41,METAGENOMIC,0.02669584,0.027,Random Forest,None
Liss_2018,Metabolic Biosynthesis Pathways Identified from Fecal Microbiome Associated with Prostate Cancer,https://www.sciencedirect.com/science/article/pii/S0302283818304615#fig0025,PrCA,Prostate Cancer,0.64,64,41,METAGENOMIC,0.05406194,0.054,Lasso regression,None
Pasolli_2016,Machine Learning Meta-analysis of Large Metagenomic Datasets: Tools and Biological Insights,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004977,CIRR,Cirrhosis,0.963,118,114,METAGENOMIC,0.01267043,0.013,Support Vector Machine,None
Pasolli_2016,Machine Learning Meta-analysis of Large Metagenomic Datasets: Tools and Biological Insights,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004977,CRC,Colorectal Cancer,0.881,48,73,METAGENOMIC,0.0344737,0.034,Random Forest,None
Pasolli_2016,Machine Learning Meta-analysis of Large Metagenomic Datasets: Tools and Biological Insights,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004977,IBD,Inflammatory Bowel Disease,0.914,25,85,METAGENOMIC,0.03988823,0.04,Support Vector Machine,None
Pasolli_2016,Machine Learning Meta-analysis of Large Metagenomic Datasets: Tools and Biological Insights,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004977,OB,Obesity,0.659,164,89,METAGENOMIC,0.03452131,0.035,Support Vector Machine,None
Pasolli_2016,Machine Learning Meta-analysis of Large Metagenomic Datasets: Tools and Biological Insights,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004977,T2D,Type 2 Diabetes,0.757,170,174,METAGENOMIC,0.02598469,0.026,Support Vector Machine,None
Pasolli_2016,Machine Learning Meta-analysis of Large Metagenomic Datasets: Tools and Biological Insights,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004977,T2D,Type 1 Diabetes,0.785,53,43,METAGENOMIC,0.04608002,0.046,Support Vector Machine,None
Qin_2014,Alterations of the human gut microbiome in liver cirrhosis,https://www-nature-com.ezp-prod1.hul.harvard.edu/articles/nature13568,CIRR,Cirrhosis,0.836,98,93,METAGENOMIC,0.02916866,0.029,Support Vector Machine,None
Scheperjans_2014,Gut microbiota are related to Parkinson's disease and clinical phenotype,https://onlinelibrary-wiley-com.ezp-prod1.hul.harvard.edu/doi/full/10.1002/mds.26069,PD,Parkinson's Disease,0.722,72,72,METAGENOMIC,0.04230017,0.042,Support Vector Machine,None
Shen_2018,Analysis of gut microbiota diversity and auxiliary diagnosis as a biomarker in patients with schizophrenia: A cross-sectional study,https://www.sciencedirect.com/science/article/pii/S0920996418300021,Schizophrenia,Schizophrenia,0.837,64,53,METAGENOMIC,0.03671963,0.037,Random Forest,None
Stokholm_2018,Maturation of the gut microbiome and risk of asthma in childhood,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5762761/,Asthma,Asthma,0.76,690,690,METAGENOMIC,0.01286304,0.012,Partial least squares regression,None
Thomas_2019,Metagenomic analysis of colorectal cancer datasets identifies cross-cohort microbial diagnostic signatures and a link with choline degradation,https://www.nature.com/articles/s41591-019-0405-7,CRC,Colorectal Cancer,0.91,29,24,METAGENOMIC,0.04097792,0.041,Random Forest,None
Thomas_2019,Metagenomic analysis of colorectal cancer datasets identifies cross-cohort microbial diagnostic signatures and a link with choline degradation,https://www.nature.com/articles/s41591-019-0405-7,CRC,Colorectal Cancer,0.81,32,28,METAGENOMIC,0.05565353,0.056,Random Forest,None
Wu_2018,Metagenomics Biomarkers Selected for Prediction of Three Different Diseases in Chinese Population,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5820663/#B17,CIRR,Cirrhosis,0.99,123,383,METAGENOMIC,0.00635619,0.006,Logistic regression,None
Wu_2018,Metagenomics Biomarkers Selected for Prediction of Three Different Diseases in Chinese Population,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5820663/#B17,RA,Rheumatoid Arthritis,0.99,130,383,METAGENOMIC,0.00618381,0.006,Logistic regression,None
Wu_2018,Metagenomics Biomarkers Selected for Prediction of Three Different Diseases in Chinese Population,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5820663/#B17,T2D,Type 2 Diabetes,0.96,170,383,METAGENOMIC,0.01071311,0.011,Logistic regression,None
Yan_2017,Alterations of the Gut Microbiome in Hypertension,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5573791/,Hypertension,Hypertension,0.78,60,60,METAGENOMIC,0.04227505,0.042,Random Forest,None
Zeller_2014,Potential of fecal microbiota for early-stage detection of colorectal cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4299606/,CRC,Colorectal Cancer,0.9,91,385,METAGENOMIC,0.02215511,0.022,Lasso regression,None
Zhang_2015,The oral and gut microbiomes are perturbed in rheumatoid arthritis and partly normalized after treatment,https://www-nature-com.ezp-prod1.hul.harvard.edu/articles/nm.3914,RA,Rheumatoid Arthritis,0.9396,164,102,METAGENOMIC,0.01417334,0.014,Random Forest,None
Zhang_2015,The oral and gut microbiomes are perturbed in rheumatoid arthritis and partly normalized after treatment,https://www-nature-com.ezp-prod1.hul.harvard.edu/articles/nm.3914,RA,Rheumatoid Arthritis,0.8702,164,102,METAGENOMIC,0.02122553,0.021,Random Forest,None
Zhang_2015,The oral and gut microbiomes are perturbed in rheumatoid arthritis and partly normalized after treatment,https://www-nature-com.ezp-prod1.hul.harvard.edu/articles/nm.3914,RA,Rheumatoid Arthritis,0.8135,164,102,METAGENOMIC,0.02554138,0.026,Random Forest,None
Yu_2017,Metagenomic analysis of faecal microbiome as a tool towards targeted non-invasive biomarkers for colorectal cancer.,https://www.ncbi.nlm.nih.gov/pubmed/26408641,CRC,Colorectal Cancer,0.84,47,109,METAGENOMIC,0.03855088,0.039,Random Forest,None
Feng_2015,Gut microbiome development along the colorectal adenoma–carcinoma sequence,https://www.nature.com/articles/ncomms7528,CRC,Colorectal Cancer,0.96,55,5,METAGENOMIC,0.02651836,0.027,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,CD,Crohn's Disease,0.71,146,16,METAGENOMIC,0.05924742,0.059,Random Forest,None
Walters_2014,Meta-analyses of human gut microbes associated with obesity and IBD,https://febs.onlinelibrary.wiley.com/doi/epdf/10.1016/j.febslet.2014.09.039,IBD,Inflammatory Bowel Disease,0.82,294,93,METAGENOMIC,0.02168954,0.021,Random Forest,None
Walters_2014,Meta-analyses of human gut microbes associated with obesity and IBD,https://febs.onlinelibrary.wiley.com/doi/epdf/10.1016/j.febslet.2014.09.039,CD,Crohn's Disease,0.88,159,93,METAGENOMIC,0.02087035,0.021,Random Forest,None
Walters_2014,Meta-analyses of human gut microbes associated with obesity and IBD,https://febs.onlinelibrary.wiley.com/doi/epdf/10.1016/j.febslet.2014.09.039,CD,Crohn's Disease,0.97,159,93,METAGENOMIC,0.01000856,0.01,Random Forest,None
Walters_2014,Meta-analyses of human gut microbes associated with obesity and IBD,https://febs.onlinelibrary.wiley.com/doi/epdf/10.1016/j.febslet.2014.09.039,UC,Ulcerative Colitis,0.92,135,93,METAGENOMIC,0.01795761,0.018,Random Forest,None
